name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"22911, Charlottesville, VA, United States",2024-03-11,60.8,39.6,49.1,60.8,35.6,47.2,14.9,27.5,0,0,0,,0,0,30.9,7.9,290.1,1015.6,17.7,9.9,234.1,20.3,8,10,2024-03-11T07:30:05,2024-03-11T19:17:46,0.04,Clear,Clear conditions throughout the day.,clear-day,"99999903759,C9335,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-12,73.8,46.8,60.1,73.8,44.3,59.6,23,24.1,0,0,0,,0,0,20.9,7.5,268.3,1015,0,9.9,227.6,19.8,8,10,2024-03-12T07:28:34,2024-03-12T19:18:44,0.08,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-13,75.6,43.5,61.1,75.6,43.5,61.1,28.6,31.6,0,0,0,,0,0,11,5.4,153.4,1013.7,0,9.9,218.5,18.8,8,10,2024-03-13T07:27:04,2024-03-13T19:19:41,0.11,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-14,80.7,46.2,64.3,79.9,46.2,64.1,34.8,36.5,0,0,0,,0,0,20.8,8.4,206.9,1015.7,0,9.9,220,18.9,8,10,2024-03-14T07:25:33,2024-03-14T19:20:39,0.14,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,72216703718,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-15,76.6,58.3,66.2,76.6,58.3,66.2,47.8,53.3,0.167,100,16.67,rain,0,0,28.2,9.8,205.6,1009.5,41.9,9.7,74.3,6.3,3,10,2024-03-15T07:24:02,2024-03-15T19:21:36,0.18,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-16,71.6,46.8,59.7,71.6,45.8,59.7,35.2,43.4,0,0,0,rain,0,0,19.7,7.6,247.2,1010.3,6.7,9.9,242,20.9,8,10,2024-03-16T07:22:31,2024-03-16T19:22:33,0.21,Clear,Clear conditions throughout the day.,clear-day,"99999903759,C9335,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-17,71.7,52,62.9,71.7,52,62.9,31.6,32.5,0,0,0,,0,0,26.1,8.4,258.2,1003.4,4.7,9.9,202.8,17.6,8,10,2024-03-17T07:20:59,2024-03-17T19:23:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-18,56.9,39.7,48.2,56.9,35.9,47.2,18,30.2,0,0,0,,0,0,29,6.7,313.4,1009.1,20.1,9.9,192.1,16.7,9,10,2024-03-18T07:19:28,2024-03-18T19:24:27,0.28,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999903759,0618W,KGVE,72216703718,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-19,54.8,36.5,43.9,54.8,34.4,41.6,16.3,33.2,0,0,0,,0,0,27.2,9.3,236.2,1011.3,19.4,9.9,224.7,19.7,8,10,2024-03-19T07:17:56,2024-03-19T19:25:24,0.31,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-20,69.9,39.1,54.9,69.9,34.6,53.1,21.3,28.8,0,0,0,,0,0,36.5,12,244.3,1006.8,6.7,9.9,241.7,20.8,9,10,2024-03-20T07:16:24,2024-03-20T19:26:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,72216703718,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-21,56.9,33.8,45.9,56.9,29.6,44.7,18.6,34.8,0,0,0,,0,0,15.7,5.1,59.5,1020.4,12,9.4,245.9,21.3,8,10,2024-03-21T07:14:52,2024-03-21T19:27:16,0.38,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-22,55.9,33.4,45.4,55.9,30.6,44.2,25.4,45.9,0.021,100,12.5,rain,0,0,20.4,5.6,30.5,1024.1,57.3,9.7,130.3,11.3,7,10,2024-03-22T07:13:20,2024-03-22T19:28:13,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-23,62.7,39.7,49.1,62.7,35.4,47.2,39,70.1,0.935,100,45.83,rain,0,0,32.8,7.8,3.3,1011.1,67.5,8.5,162.2,14,9,10,2024-03-23T07:11:48,2024-03-23T19:29:09,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-24,53.6,30.9,41.9,53.6,30.9,40.5,17.5,38.8,0,0,0,,0,0,25.3,6.4,37.6,1023.3,0,9.9,245.7,21.2,9,10,2024-03-24T07:10:16,2024-03-24T19:30:05,0.48,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-25,60.8,30.6,46,60.8,30.6,45.4,23.8,44.1,0,0,0,,0,0,16.1,6.5,61.8,1027,0,9.9,241.7,21.1,8,10,2024-03-25T07:08:44,2024-03-25T19:31:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-26,61,34.6,49,61,34.6,48.4,28.5,48.9,0.034,100,8.33,rain,0,0,16.6,6.8,50.3,1020.8,21.3,9.9,147.3,12.8,5,10,2024-03-26T07:07:12,2024-03-26T19:31:56,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-27,53.5,48.4,50.9,53.5,47.5,50.9,45.6,82,0.414,100,62.5,rain,0,0,16.3,4.8,89.8,1017.1,100,6.5,48.4,4.2,2,10,2024-03-27T07:05:40,2024-03-27T19:32:52,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-28,61.6,49.7,53.5,61.6,48.6,53.4,38.2,62.6,0.072,100,20.83,rain,0,0,22.6,4.6,5.9,1014.8,58.2,8,129.5,11.2,6,10,2024-03-28T07:04:08,2024-03-28T19:33:48,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-29,67.7,45.9,57.2,67.7,44.6,57,26.8,32.7,0,0,0,rain,0,0,33.4,9.6,309.6,1013.1,31.5,9.9,212.2,18.3,9,10,2024-03-29T07:02:37,2024-03-29T19:34:44,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-30,76.7,42.1,62.5,76.7,39.2,62,32.7,35,0,0,0,,0,0,26.8,9.8,212.2,1010.7,21.2,9.9,188.9,16.3,8,10,2024-03-30T07:01:05,2024-03-30T19:35:39,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-31,67.4,55.2,61.6,67.4,55.2,61.6,51.3,69.4,0.035,100,20.83,rain,0,0,23.3,5.6,23.5,1011.7,69,9.7,79.5,6.6,4,10,2024-03-31T06:59:34,2024-03-31T19:36:35,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-01,71.5,54.8,59.6,71.5,54.8,59.6,53.2,80.3,0.003,100,4.17,rain,0,0,21.2,6.5,55.2,1011.4,79.2,6.3,141,12.2,8,10,2024-04-01T06:58:03,2024-04-01T19:37:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-02,60.7,53.6,55.7,60.7,53.6,55.7,51,84.2,0.158,100,20.83,rain,0,0,31.3,5.9,62.8,1008.1,99.8,8.5,47,4,2,10,2024-04-02T06:56:32,2024-04-02T19:38:26,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-03,60.3,48.6,52.5,60.3,44.7,52,45.8,79.1,0.899,100,62.5,rain,0,0,41.4,8.8,34.1,996.7,89.7,5.7,103.3,9.1,8,10,2024-04-03T06:55:02,2024-04-03T19:39:21,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-04,57.3,41.2,49,57.3,37.6,47.7,30.2,49.5,0,0,0,rain,0,0,31.9,11.1,266.3,998.2,34.4,10,200.8,17.5,9,10,2024-04-04T06:53:32,2024-04-04T19:40:17,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-05,56.7,40.2,48,56.7,36.6,46.4,28.7,48.4,0,0,0,,0,0,27.2,7.4,272.8,1008.8,54.2,9.9,207.6,18,10,10,2024-04-05T06:52:03,2024-04-05T19:41:12,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-06,55.6,41.6,48.5,55.6,40.1,47.8,26.7,42.7,0,0,0,,0,0,30,6.6,330.4,1015.7,47.2,9.9,236.6,20.5,9,10,2024-04-06T06:50:33,2024-04-06T19:42:08,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-07,67.6,42,55.1,67.6,42,55.1,28.4,38.3,0,0,0,,0,0,19.7,5.6,350.2,1019.1,0.1,9.9,281.5,24.3,9,10,2024-04-07T06:49:04,2024-04-07T19:43:03,0.96,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-08,75.4,42.5,59.2,75.4,42.5,59.2,37.4,46.4,0,0,0,,0,0,24.2,8.3,204.9,1019.9,25.2,9.9,212.1,18.3,9,10,2024-04-08T06:47:36,2024-04-08T19:43:59,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-09,79.8,57.3,68.3,79.8,57.3,68.3,48.7,50.6,0,0,0,rain,0,0,27.1,9.4,213.1,1016.7,48.3,9.9,178.3,15.4,8,10,2024-04-09T06:46:08,2024-04-09T19:44:54,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-10,77.8,60,68.8,77.8,60,68.8,52.7,57.2,0,0,0,,0,0,21.9,9.4,205.3,1014.8,56.3,9.9,180.5,15.7,10,10,2024-04-10T06:44:41,2024-04-10T19:45:50,0.06,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-11,69.9,62.8,66.2,69.9,62.8,66.2,59.7,79.6,0.179,100,29.17,rain,0,0,30,7,161.8,1005.5,91.6,9.2,31.2,2.8,1,10,2024-04-11T06:43:14,2024-04-11T19:46:45,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-12,66.7,56.8,61.6,66.7,56.8,61.6,44.5,55.7,0.287,100,25,rain,0,0,33.5,12,240.6,999.4,69.4,9.8,196.5,17,9,10,2024-04-12T06:41:48,2024-04-12T19:47:41,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999903759,0618W,KGVE,72216703718,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-13,70.8,56.6,62.2,70.8,56.6,62.2,29.2,30.3,0,0,0,,0,0,36.8,8.9,296.2,1011.4,16.9,9.9,285.6,24.9,9,10,2024-04-13T06:40:22,2024-04-13T19:48:37,0.16,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-14,84.5,47.1,67.7,82.2,45,67.1,38.5,35.6,0,0,0,,0,0,31.4,10.3,201.5,1013,0,9.9,258.4,22.5,9,10,2024-04-14T06:38:57,2024-04-14T19:49:32,0.19,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-15,89.7,65.4,77.8,87,65.4,77,46.6,33.8,0.026,100,8.33,rain,0,0,23,6.8,258.3,1010,10.3,9.9,263.5,22.7,9,30,2024-04-15T06:37:33,2024-04-15T19:50:28,0.25,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-16,78.7,61.8,69.6,78.7,61.8,69.6,42.5,39.1,0,0,0,rain,0,0,19.5,6,93.3,1019.2,5,9.9,276.1,24,9,10,2024-04-16T06:36:09,2024-04-16T19:51:24,0.26,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-17,74.6,58.5,65.8,74.6,58.5,65.8,51.4,60,0,0,0,rain,0,0,24.2,5.5,181.5,1016,15.8,9.9,102.3,8.7,5,10,2024-04-17T06:34:46,2024-04-17T19:52:19,0.29,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-18,86.8,59.4,72.5,83.3,59.4,71.7,49.7,51.5,0,0,0,,0,0,19.2,5.9,344.5,1014.1,3.9,9.9,274.6,23.8,9,10,2024-04-18T06:33:24,2024-04-18T19:53:15,0.33,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-19,65.2,56.6,58.8,65.2,56.6,58.8,52.8,80.7,0.006,100,4.17,rain,0,0,18.1,5,77.9,1017.2,80.1,7.4,37.6,3.3,1,10,2024-04-19T06:32:02,2024-04-19T19:54:11,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-20,75.6,56,64,75.6,56,64,43.9,55.9,0,0,0,rain,0,0,22.6,6.1,291.8,1014.5,54.6,9,208.5,17.9,10,10,2024-04-20T06:30:42,2024-04-20T19:55:07,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-21,61,41.7,50.4,61,41.7,50.1,28.8,44,0,0,0,rain,0,0,17.2,5.5,44.4,1016.6,20.3,9.9,104.8,9,4,10,2024-04-21T06:29:22,2024-04-21T19:56:03,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-22,64.7,37.1,51.2,64.7,37.1,51,28.3,44.7,0,0,0,,0,0,18.6,6.5,15.9,1019.3,3.6,9.9,305.8,26.3,10,10,2024-04-22T06:28:03,2024-04-22T19:56:59,0.46,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-23,75.5,36.7,58.3,75.5,33.9,57.7,32.9,43.9,0.002,100,4.17,rain,0,0,29.4,9.1,209.7,1017.9,0,9.9,293.3,25.3,9,10,2024-04-23T06:26:45,2024-04-23T19:57:55,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-24,75.4,59.5,66.4,75.4,59.5,66.4,39.6,38.7,0,0,0,,0,0,25.3,7.9,242.4,1013.5,62.8,9.9,195.5,16.8,8,10,2024-04-24T06:25:28,2024-04-24T19:58:51,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,72216703718,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-25,66.1,51,58.5,66.1,51,58.5,41.7,54.1,0,0,0,rain,0,0,20.8,6.4,59.5,1022.6,66.1,9.9,246.6,21.2,10,10,2024-04-25T06:24:12,2024-04-25T19:59:46,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-26,64.8,50.8,57.2,64.8,50.8,57.2,39.3,53.6,0,0,0,rain,0,0,17.9,5.4,100.9,1028.3,98.9,9.9,167.2,14.5,8,10,2024-04-26T06:22:57,2024-04-26T20:00:42,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-27,61.7,51.1,55.2,61.7,51.1,55.2,45.8,71.5,0.048,100,20.83,rain,0,0,21.9,3.9,95.2,1029.2,85,9.6,116.7,10,5,10,2024-04-27T06:21:43,2024-04-27T20:01:38,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-28,87.5,53.8,70.8,85.9,53.8,70.5,54.8,61.1,0,0,0,rain,0,0,21.9,7.3,199.7,1021,10.6,9.6,295.3,25.6,9,10,2024-04-28T06:20:30,2024-04-28T20:02:34,0.67,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-29,90.7,59.8,76.6,90.8,59.8,76.3,57.2,54.2,0,0,0,,0,0,21.9,8,191,1015.8,4.5,9.9,295.5,25.5,9,30,2024-04-29T06:19:18,2024-04-29T20:03:30,0.7,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-04-30,82.8,60.8,72.4,82,60.8,72.3,55,55.8,0,0,0,rain,0,0,20.8,8.9,203.2,1012.1,16.2,9.9,230,19.9,9,10,2024-04-30T06:18:07,2024-04-30T20:04:25,0.74,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-01,84.6,60.9,72.7,82.3,60.9,72.3,54.9,58.6,0,0,0,rain,0,0,14.5,3.8,311.1,1013.3,26.7,9.9,301,26,10,10,2024-05-01T06:16:57,2024-05-01T20:05:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-02,90.8,55.8,74.2,88.5,55.8,73.4,53.8,53.7,0,0,0,,0,0,11,3.9,35.2,1014.5,0.1,9.9,305.3,26.4,9,10,2024-05-02T06:15:48,2024-05-02T20:06:16,0.81,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-03,85.5,59.9,71.5,85.8,59.9,71.7,58.2,63.9,0,0,0,,0,0,24.2,7.8,44.5,1015.7,20.9,9.9,217.6,18.9,8,10,2024-05-03T06:14:41,2024-05-03T20:07:12,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-04,60,55.7,56.7,60,55.7,56.7,53,87.3,0.816,100,58.33,rain,0,0,15.9,4.7,48,1021.5,100,3.8,36.8,3.2,2,10,2024-05-04T06:13:35,2024-05-04T20:08:07,0.88,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-05,66.7,54.9,60.1,66.7,54.9,60.1,55.9,86.2,0.402,100,54.17,rain,0,0,19,3.7,30.1,1019.8,99.7,6.7,75.1,6.4,3,10,2024-05-05T06:12:30,2024-05-05T20:09:02,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-06,78.7,61.7,68.2,78.7,61.7,68.2,63,84.5,0.218,100,29.17,rain,0,0,14.8,3.1,8.7,1014.5,93.8,5.7,140.8,12,6,30,2024-05-06T06:11:26,2024-05-06T20:09:57,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999903759,C9335,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-07,80.5,63.9,71.5,81.7,63.9,71.6,63.4,77.1,0.001,100,4.17,rain,0,0,15.9,3.7,51.8,1008.4,68.2,6.9,210.8,18.3,8,30,2024-05-07T06:10:24,2024-05-07T20:10:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-08,86,64.8,75.1,85.6,64.8,75.3,62.4,67.4,0,0,0,rain,0,0,26.4,8.3,242.1,1005.3,9,9,190.5,16.5,7,30,2024-05-08T06:09:23,2024-05-08T20:11:46,0.02,Clear,Clear conditions throughout the day.,clear-day,"99999903759,0618W,KGVE,72216703718,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-05-09,79.8,65.6,70.5,79.8,65.6,70.5,59.9,70.3,0.047,100,12.5,rain,0,0,17.4,7.9,35.5,1004.5,67.6,9.5,180.2,15.4,6,10,2024-05-09T06:08:23,2024-05-09T20:12:41,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999903759,0618W,72216703718,KCHO,KOMH,72401693736"
